,week,nyt,election,kennedy,mids
1,1/1/1958,0,0,0,0
2,1/8/1958,0,0,0,0
3,1/15/1958,2,0,0,0
4,1/22/1958,0,0,0,0
5,1/29/1958,1,0,0,0
6,2/5/1958,0,0,0,0
7,2/12/1958,0,0,0,0
8,2/19/1958,0,0,0,0
9,2/26/1958,0,0,0,0
10,3/5/1958,0,0,0,1
11,3/12/1958,0,0,0,1
12,3/19/1958,0,0,0,1
13,3/26/1958,0,0,0,1
14,4/2/1958,0,0,0,1
15,4/9/1958,0,0,0,1
16,4/16/1958,0,0,0,1
17,4/23/1958,0,0,0,1
18,4/30/1958,0,0,0,1
19,5/7/1958,0,0,0,1
20,5/14/1958,0,0,0,2
21,5/21/1958,0,0,0,2
22,5/28/1958,0,0,0,2
23,6/4/1958,1,0,0,2
24,6/11/1958,1,0,0,2
25,6/18/1958,0,0,0,2
26,6/25/1958,0,0,0,2
27,7/2/1958,0,0,0,2
28,7/9/1958,0,0,0,2
29,7/16/1958,0,0,0,3
30,7/23/1958,0,0,0,3
31,7/30/1958,0,0,0,3
32,8/6/1958,1,0,0,3
33,8/13/1958,0,0,0,3
34,8/20/1958,0,0,0,3
35,8/27/1958,0,0,0,3
36,9/3/1958,0,1,0,3
37,9/10/1958,0,1,0,3
38,9/17/1958,0,1,0,3
39,9/24/1958,0,1,0,3
40,10/1/1958,0,1,0,3
41,10/8/1958,0,1,0,3
42,10/15/1958,0,1,0,3
43,10/22/1958,0,1,0,3
44,10/29/1958,0,1,0,2
45,11/5/1958,1,1,0,3
46,11/12/1958,1,0,0,3
47,11/19/1958,2,0,0,3
48,11/26/1958,0,0,0,3
49,12/3/1958,0,0,0,3
50,12/10/1958,0,0,0,3
51,12/17/1958,0,0,0,3
52,12/24/1958,0,0,0,2
53,12/31/1958,0,0,0,2
54,1/7/1959,0,0,0,2
55,1/14/1959,0,0,0,3
56,1/21/1959,0,0,0,2
57,1/28/1959,1,0,0,2
58,2/4/1959,0,0,0,2
59,2/11/1959,0,0,0,2
60,2/18/1959,0,0,0,2
61,2/25/1959,0,0,0,2
62,3/4/1959,0,0,0,2
63,3/11/1959,0,0,0,2
64,3/18/1959,0,0,0,2
65,3/25/1959,0,0,0,2
66,4/1/1959,0,0,0,2
67,4/8/1959,0,0,0,2
68,4/15/1959,0,0,0,2
69,4/22/1959,0,0,0,2
70,4/29/1959,0,0,0,2
71,5/6/1959,1,0,0,2
72,5/13/1959,0,0,0,2
73,5/20/1959,0,0,0,2
74,5/27/1959,0,0,0,2
75,6/3/1959,0,0,0,2
76,6/10/1959,0,0,0,2
77,6/17/1959,0,0,0,2
78,6/24/1959,0,0,0,1
79,7/1/1959,0,0,0,1
80,7/8/1959,0,0,0,1
81,7/15/1959,0,0,0,1
82,7/22/1959,0,0,0,1
83,7/29/1959,0,0,0,1
84,8/5/1959,0,0,0,1
85,8/12/1959,0,0,0,1
86,8/19/1959,0,0,0,1
87,8/26/1959,0,0,0,1
88,9/2/1959,0,0,0,1
89,9/9/1959,0,0,0,1
90,9/16/1959,0,0,0,1
91,9/23/1959,0,0,0,1
92,9/30/1959,0,0,0,1
93,10/7/1959,0,0,0,1
94,10/14/1959,0,0,0,1
95,10/21/1959,0,0,0,1
96,10/28/1959,0,0,0,1
97,11/4/1959,0,0,0,1
98,11/11/1959,0,0,0,1
99,11/18/1959,0,0,0,1
100,11/25/1959,0,0,0,1
101,12/2/1959,0,0,0,1
102,12/9/1959,0,0,0,1
103,12/16/1959,0,0,0,1
104,12/23/1959,0,0,0,1
105,12/30/1959,0,0,0,1
106,1/6/1960,0,0,0,1
107,1/13/1960,0,0,0,1
108,1/20/1960,0,0,0,1
109,1/27/1960,0,0,0,1
110,2/3/1960,0,0,0,1
111,2/10/1960,0,0,0,1
112,2/17/1960,0,0,0,1
113,2/24/1960,0,0,0,1
114,3/2/1960,1,0,0,1
115,3/9/1960,0,0,0,1
116,3/16/1960,0,0,0,1
117,3/23/1960,0,0,0,1
118,3/30/1960,0,0,0,1
119,4/6/1960,0,0,0,1
120,4/13/1960,0,0,0,1
121,4/20/1960,0,0,0,2
122,4/27/1960,0,0,0,3
123,5/4/1960,1,0,0,3
124,5/11/1960,0,0,0,3
125,5/18/1960,1,0,0,3
126,5/25/1960,0,0,0,3
127,6/1/1960,1,0,0,3
128,6/8/1960,0,0,0,3
129,6/15/1960,0,0,0,3
130,6/22/1960,0,0,0,3
131,6/29/1960,0,0,0,3
132,7/6/1960,0,0,0,3
133,7/13/1960,1,0,0,3
134,7/20/1960,0,0,0,2
135,7/27/1960,1,0,0,2
136,8/3/1960,0,0,0,2
137,8/10/1960,0,0,0,2
138,8/17/1960,0,0,0,2
139,8/24/1960,0,0,0,2
140,8/31/1960,1,1,0,2
141,9/7/1960,2,1,0,2
142,9/14/1960,1,1,0,2
143,9/21/1960,0,1,0,2
144,9/28/1960,0,1,0,2
145,10/5/1960,0,1,0,2
146,10/12/1960,2,1,0,2
147,10/19/1960,1,1,0,2
148,10/26/1960,0,1,0,2
149,11/2/1960,0,1,0,2
150,11/9/1960,0,0,0,2
151,11/16/1960,0,0,0,2
152,11/23/1960,0,0,0,2
153,11/30/1960,0,0,0,2
154,12/7/1960,0,0,0,2
155,12/14/1960,0,0,0,2
156,12/21/1960,0,0,0,2
157,12/28/1960,0,0,0,3
158,1/4/1961,0,0,0,3
159,1/11/1961,0,0,0,3
160,1/18/1961,0,0,0,3
161,1/25/1961,0,0,1,3
162,2/1/1961,0,0,1,3
163,2/8/1961,1,0,1,3
164,2/15/1961,0,0,1,3
165,2/22/1961,0,0,1,3
166,3/1/1961,0,0,1,3
167,3/8/1961,0,0,1,3
168,3/15/1961,0,0,1,3
169,3/22/1961,0,0,1,3
170,3/29/1961,0,0,1,3
171,4/5/1961,0,0,1,3
172,4/12/1961,0,0,1,3
173,4/19/1961,0,0,1,3
