"","week","wh","dos","dosh","fbis","fbism","fbish","year","nyt","election","kennedy","mids","wh1","wh2","wh3","wh4","wh5"
"1",1958-01-01,0,0,0,1,0,0,"1958",0,0,0,0,NA,NA,NA,NA,NA
"2",1958-01-08,0,1,0,1,0,0,"1958",0,0,0,0,0,NA,NA,NA,NA
"3",1958-01-15,0,5,0,1,1,0,"1958",2,0,0,0,0,0,NA,NA,NA
"4",1958-01-22,0,3,0,2,0,0,"1958",0,0,0,0,0,0,0,NA,NA
"5",1958-01-29,0,0,0,1,0,0,"1958",1,0,0,0,0,0,0,0,NA
"6",1958-02-05,2,0,0,1,0,0,"1958",0,0,0,0,0,0,0,0,0
"7",1958-02-12,1,1,0,0,0,0,"1958",0,0,0,0,2,0,0,0,0
"8",1958-02-19,0,0,0,0,0,0,"1958",0,0,0,0,1,2,0,0,0
"9",1958-02-26,1,0,0,1,0,0,"1958",0,0,0,0,0,1,2,0,0
"10",1958-03-05,0,0,0,0,0,0,"1958",0,0,0,1,1,0,1,2,0
"11",1958-03-12,0,1,0,1,0,0,"1958",0,0,0,1,0,1,0,1,2
"12",1958-03-19,0,0,0,1,0,0,"1958",0,0,0,1,0,0,1,0,1
"13",1958-03-26,0,1,0,2,0,0,"1958",0,0,0,1,0,0,0,1,0
"14",1958-04-02,0,0,0,1,0,0,"1958",0,0,0,1,0,0,0,0,1
"15",1958-04-09,0,1,0,1,1,1,"1958",0,0,0,1,0,0,0,0,0
"16",1958-04-16,0,1,0,4,2,2,"1958",0,0,0,1,0,0,0,0,0
"17",1958-04-23,0,0,0,0,0,0,"1958",0,0,0,1,0,0,0,0,0
"18",1958-04-30,0,0,0,0,0,0,"1958",0,0,0,1,0,0,0,0,0
"19",1958-05-07,1,0,0,3,2,1,"1958",0,0,0,1,0,0,0,0,0
"20",1958-05-14,0,0,0,2,0,0,"1958",0,0,0,2,1,0,0,0,0
"21",1958-05-21,0,0,0,3,0,0,"1958",0,0,0,2,0,1,0,0,0
"22",1958-05-28,0,0,0,0,0,0,"1958",0,0,0,2,0,0,1,0,0
"23",1958-06-04,0,1,0,5,0,0,"1958",1,0,0,2,0,0,0,1,0
"24",1958-06-11,0,0,0,3,0,0,"1958",1,0,0,2,0,0,0,0,1
"25",1958-06-18,0,1,0,1,1,0,"1958",0,0,0,2,0,0,0,0,0
"26",1958-06-25,0,0,0,1,0,0,"1958",0,0,0,2,0,0,0,0,0
"27",1958-07-02,0,0,0,2,1,0,"1958",0,0,0,2,0,0,0,0,0
"28",1958-07-09,0,0,0,7,7,2,"1958",0,0,0,2,0,0,0,0,0
"29",1958-07-16,0,0,0,1,0,0,"1958",0,0,0,3,0,0,0,0,0
"30",1958-07-23,0,1,0,3,0,0,"1958",0,0,0,3,0,0,0,0,0
"31",1958-07-30,0,1,0,4,1,1,"1958",0,0,0,3,0,0,0,0,0
"32",1958-08-06,0,7,0,5,2,2,"1958",1,0,0,3,0,0,0,0,0
"33",1958-08-13,0,6,0,4,1,0,"1958",0,0,0,3,0,0,0,0,0
"34",1958-08-20,0,3,0,6,2,0,"1958",0,0,0,3,0,0,0,0,0
"35",1958-08-27,1,4,1,6,2,0,"1958",0,0,0,3,0,0,0,0,0
"36",1958-09-03,0,1,0,5,1,0,"1958",0,1,0,3,1,0,0,0,0
"37",1958-09-10,0,0,0,1,1,1,"1958",0,1,0,3,0,1,0,0,0
"38",1958-09-17,0,2,0,1,0,0,"1958",0,1,0,3,0,0,1,0,0
"39",1958-09-24,0,0,0,2,0,0,"1958",0,1,0,3,0,0,0,1,0
"40",1958-10-01,0,0,0,5,2,0,"1958",0,1,0,3,0,0,0,0,1
"41",1958-10-08,0,2,0,1,1,0,"1958",0,1,0,3,0,0,0,0,0
"42",1958-10-15,0,1,0,2,1,0,"1958",0,1,0,3,0,0,0,0,0
"43",1958-10-22,0,3,0,1,1,1,"1958",0,1,0,3,0,0,0,0,0
"44",1958-10-29,0,0,0,1,1,0,"1958",0,1,0,2,0,0,0,0,0
"45",1958-11-05,1,1,0,0,0,0,"1958",1,1,0,3,0,0,0,0,0
"46",1958-11-12,3,17,10,10,5,2,"1958",1,0,0,3,1,0,0,0,0
"47",1958-11-19,5,22,3,5,1,1,"1958",2,0,0,3,3,1,0,0,0
"48",1958-11-26,0,11,2,4,3,2,"1958",0,0,0,3,5,3,1,0,0
