,doc.id,date
1,1-B,2/21/1961
2,2-B,2/24/1961
3,3-B,2/24/1961
4,4-B,12/26/1960
5,5-B,12/26/1960
6,6-B,12/26/1960
7,7-B,12/26/1960
8,8-B,12/26/1960
9,9-B,12/26/1960
10,10-B,12/26/1960
11,11-B,12/26/1960
12,12-B,12/26/1960
13,13-B,12/26/1960
14,14-B,12/26/1960
15,15-B,12/26/1960
16,16-B,1/10/1961
17,17-B,1/10/1961
18,18-B,1/10/1961
19,19-B,1/10/1961
20,20-B,1/10/1961
21,21-B,2/10/1961
22,22-B,2/10/1961
23,23-B,2/10/1961
24,24-B,2/10/1961
25,25-B,2/10/1961
26,26-B,2/10/1961
27,27-B,2/10/1961
28,28-B,2/17/1961
29,29-B,3/1/1961
30,30-B,3/1/1961
31,31-B,3/12/1961
32,32-B,3/10/1961
33,33-B,3/10/1961
34,34-B,3/24/1961
35,35-B,3/27/1961
36,36-B,3/24/1961
37,37-B,3/21/1961
38,38-B,3/27/1961
39,39-B,3/31/1961
40,40-B,3/30/1961
41,41-B,3/30/1961
42,42-B,3/24/1961
43,43-B,3/24/1961
44,44-B,3/24/1961
45,45-B,3/24/1961
46,46-B,3/24/1961
47,47-B,3/24/1961
48,48-B,3/24/1961
49,49-B,3/24/1961
50,50-B,4/4/1961
51,51-B,4/13/1961
52,52-B,4/4/1961
53,53-B,4/4/1961
54,54-B,4/17/1961
55,55-B,4/26/1961
56,56-B,5/10/1961
57,57-B,5/13/1961
58,58-B,5/13/1961
59,59-B,5/13/1961
60,60-B,5/5/1961
61,61-B,5/17/1961
62,62-B,5/17/1961
63,63-B,5/20/1961
64,64-B,5/25/1961
65,65-B,5/26/1961
66,66-B,5/30/1961
67,67-B,5/30/1961
68,68-B,5/30/1961
69,69-B,5/27/1961
70,70-B,5/27/1961
71,71-B,5/27/1961
72,72-B,5/29/1961
73,73-B,5/29/1961
74,74-B,5/5/1961
75,75-B,5/5/1961
76,76-B,5/5/1961
