,resolve
1,High
2,High
3,None
4,None
5,None
6,High
7,None
8,Low
9,None
10,None
11,None
12,High
13,None
14,None
15,None
16,High
17,Low
18,None
19,Low
20,High
21,None
22,High
23,None
24,High
25,None
26,None
27,High
28,None
29,None
30,None
31,High
32,Low
33,High
34,None
35,High
36,None
37,High
38,None
39,High
40,None
41,Low
42,None
43,High
44,None
45,High
46,None
47,Low
48,None
49,None
50,Low
51,None
52,Low
53,None
54,Low
55,None
56,None
57,Low
58,None
59,High
60,None
61,None
62,High
63,None
64,None
65,None
66,None
67,High
68,Low
69,High
70,None
71,High
72,None
73,Low
74,None
75,High
76,None
77,None
78,Low
79,None
80,None
81,High
82,High
83,None
84,High
85,High
86,None
87,High
88,High
89,None
90,None
91,None
92,None
93,High
94,Low
95,None
96,High
97,None
98,None
99,Low
100,None
101,High
102,Low
103,None
104,High
105,High
106,High
107,None
108,None
109,None
110,Low
111,None
112,High
113,Low
114,Low
115,None
116,None
117,None
118,High
119,None
120,None
121,None
122,None
123,None
124,High
125,High
126,None
127,None
128,None
129,Low
130,None
131,None
132,None
133,None
134,None
135,None
136,High
137,None
138,None
139,High
140,None
141,High
142,Low
143,High
144,None
145,None
146,None
147,Low
148,None
149,High
150,None
151,High
152,High
153,High
154,Low
155,None
156,None
157,None
158,High
159,None
160,High
161,None
162,None
163,None
164,None
165,None
166,None
167,High
168,None
169,None
170,None
171,High
172,None
173,None
174,None
175,None
176,None
177,None
178,None
179,High
180,None
181,None
182,None
183,High
184,None
185,None
186,None
187,None
188,None
189,None
190,None
191,High
192,None
193,None
194,High
195,None
196,High
197,High
198,None
199,Low
200,None
201,Low
202,None
203,None
204,None
205,None
206,None
207,High
208,None
209,None
210,None
211,None
212,Low
213,Low
214,None
215,High
216,None
217,None
218,Low
219,None
220,None
221,None
222,None
223,None
224,None
225,Low
226,None
227,None
228,High
229,High
230,High
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,Low
239,None
240,None
241,High
242,Low
243,None
244,None
245,None
246,Low
247,None
248,None
249,High
250,Low
251,None
252,Low
253,None
254,None
255,None
256,Low
257,None
258,None
259,Low
260,None
261,None
262,None
263,None
264,High
265,None
266,None
267,None
268,Low
269,High
270,Low
271,None
272,High
273,None
274,High
275,None
276,None
277,None
278,Low
279,None
280,None
281,None
282,None
283,None
284,None
285,Low
286,None
287,None
288,None
289,None
290,None
291,High
292,Low
293,None
294,None
295,None
296,None
297,Low
298,High
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,High
307,High
308,None
309,None
310,Low
311,None
312,None
313,None
314,None
315,None
316,None
317,Low
318,None
319,None
320,None
321,None
322,High
323,None
324,None
325,None
326,None
327,High
328,High
329,None
330,None
331,None
332,None
333,High
334,None
335,Low
336,High
337,None
338,None
339,High
340,None
341,None
342,None
343,None
344,None
345,None
346,Low
347,None
348,None
349,None
350,High
351,High
352,None
353,None
354,High
355,None
356,None
357,None
358,Low
359,None
360,None
361,None
362,High
363,None
364,None
365,None
366,None
367,Low
368,None
369,None
370,None
371,High
372,None
373,None
374,None
375,Low
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,High
384,High
385,Low
386,None
387,None
388,High
389,High
390,None
391,None
392,High
393,None
394,None
395,Low
396,None
397,None
398,None
399,Low
400,Low
401,None
402,High
403,Low
404,None
405,None
406,High
407,None
408,None
409,None
410,High
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,None
419,None
420,High
421,None
422,None
423,None
424,Low
425,None
426,None
427,None
428,Low
429,High
430,None
431,None
432,None
433,High
434,None
435,None
436,None
437,None
438,Low
439,None
440,Low
441,None
442,High
443,High
444,High
445,None
446,Low
447,High
448,None
449,Low
450,None
451,High
452,None
453,None
454,None
455,Low
456,High
457,None
458,Low
459,Low
460,Low
461,Low
462,High
463,None
464,Low
465,Low
466,Low
467,None
468,High
469,None
470,None
471,Low
472,None
473,None
474,None
475,None
476,None
477,None
478,Low
479,High
480,High
481,None
482,None
483,None
484,None
485,None
486,None
487,None
488,None
489,Low
490,None
491,Low
492,Low
493,None
494,None
495,None
496,None
497,Low
498,None
499,None
500,High
501,None
502,None
503,None
504,Low
505,None
506,None
507,Low
508,High
509,None
510,None
511,None
512,None
513,Low
514,None
515,None
516,None
517,None
518,None
519,None
520,None
521,None
522,None
523,None
524,None
525,None
526,None
527,None
528,Low
529,None
530,Low
531,Low
532,None
533,None
534,High
535,None
536,None
537,Low
538,Low
539,None
540,None
541,None
542,Low
543,None
544,Low
545,None
546,Low
547,None
548,High
549,None
550,Low
551,Low
552,High
553,None
554,None
555,None
556,Low
557,None
558,None
559,None
560,None
561,Low
562,Low
563,None
564,None
565,None
566,None
567,None
568,Low
569,None
570,None
571,None
572,None
573,None
574,None
575,High
576,None
577,None
578,Low
579,None
580,None
581,High
582,None
583,None
584,None
585,None
586,None
587,None
588,None
589,High
590,Low
591,Low
592,Low
593,None
594,High
595,High
596,None
597,None
598,None
599,High
600,None
601,None
602,Low
