"","week","wsumAvg","ndoc"
"1",1958-01-01,1,17
"2",1958-01-08,1,21
"3",1958-01-15,1,15
"4",1958-01-22,2,11
"5",1958-01-29,1,15
"6",1958-02-05,1,20
"7",1958-02-12,0,11
"8",1958-02-19,0,13
"9",1958-02-26,1,13
"10",1958-03-05,0,5
"11",1958-03-12,1,9
"12",1958-03-19,1,19
"13",1958-03-26,2,22
"14",1958-04-02,1,20
"15",1958-04-09,1,15
"16",1958-04-16,4,22
"17",1958-04-23,0,11
"18",1958-04-30,0,10
"19",1958-05-07,3,23
"20",1958-05-14,2,8
"21",1958-05-21,3,19
"22",1958-05-28,0,4
"23",1958-06-04,5,40
"24",1958-06-11,3,9
"25",1958-06-18,1,3
"26",1958-06-25,1,6
"27",1958-07-02,2,19
"28",1958-07-09,7,59
"29",1958-07-16,1,23
"30",1958-07-23,3,17
"31",1958-07-30,4,21
"32",1958-08-06,5,17
"33",1958-08-13,4,18
"34",1958-08-20,6,28
"35",1958-08-27,6,12
"36",1958-09-03,5,24
"37",1958-09-10,1,19
"38",1958-09-17,1,20
"39",1958-09-24,2,13
"40",1958-10-01,5,26
"41",1958-10-08,1,15
"42",1958-10-15,2,25
"43",1958-10-22,1,20
"44",1958-10-29,1,10
"45",1958-11-05,0,12
"46",1958-11-12,10,32
"47",1958-11-19,5,21
"48",1958-11-26,4,44
"49",1958-12-03,7,34
"50",1958-12-10,6,25
"51",1958-12-17,1,27
"52",1958-12-24,7,27
"53",1958-12-31,2,15
"54",1959-01-07,6,33
"55",1959-01-14,6,29
"56",1959-01-21,1,27
"57",1959-01-28,2,24
"58",1959-02-04,12,45
"59",1959-02-11,6,28
"60",1959-02-18,9,33
"61",1959-02-25,6,48
"62",1959-03-04,9,53
"63",1959-03-11,11,37
"64",1959-03-18,7,36
"65",1959-03-25,6,36
"66",1959-04-01,3,30
"67",1959-04-08,3,22
"68",1959-04-15,4,25
"69",1959-04-22,2,23
"70",1959-04-29,1,39
"71",1959-05-06,8,51
"72",1959-05-13,6,65
"73",1959-05-20,4,55
"74",1959-05-27,3,44
"75",1959-06-03,3,47
"76",1959-06-10,6,66
"77",1959-06-17,6,64
"78",1959-06-24,11,47
"79",1959-07-01,3,41
"80",1959-07-08,8,77
"81",1959-07-15,3,46
"82",1959-07-22,4,38
"83",1959-07-29,2,60
"84",1959-08-05,6,39
"85",1959-08-12,2,21
"86",1959-08-19,6,31
"87",1959-08-26,3,33
"88",1959-09-02,1,19
"89",1959-09-09,3,19
"90",1959-09-16,6,24
"91",1959-09-23,4,33
"92",1959-09-30,4,28
"93",1959-10-07,8,43
"94",1959-10-14,2,15
"95",1959-10-21,1,16
"96",1959-10-28,5,19
"97",1959-11-04,4,24
"98",1959-11-11,3,30
"99",1959-11-18,9,49
"100",1959-11-25,1,22
"101",1959-12-02,3,33
"102",1959-12-09,3,19
"103",1959-12-16,1,37
"104",1959-12-23,0,14
"105",1959-12-30,2,11
"106",1960-01-06,5,21
"107",1960-01-13,6,21
"108",1960-01-20,3,16
"109",1960-01-27,8,29
"110",1960-02-03,5,23
"111",1960-02-10,8,29
"112",1960-02-17,6,33
"113",1960-02-24,7,37
"114",1960-03-02,4,27
"115",1960-03-09,6,30
"116",1960-03-16,9,39
"117",1960-03-23,6,32
"118",1960-03-30,2,18
"119",1960-04-06,7,34
"120",1960-04-13,3,23
"121",1960-04-20,1,29
"122",1960-04-27,7,54
"123",1960-05-04,11,40
"124",1960-05-11,3,50
"125",1960-05-18,7,59
"126",1960-05-25,2,23
"127",1960-06-01,7,33
"128",1960-06-08,6,45
"129",1960-06-15,2,17
"130",1960-06-22,4,11
"131",1960-06-29,3,29
"132",1960-07-06,12,35
"133",1960-07-13,7,36
"134",1960-07-20,3,23
"135",1960-07-27,6,37
"136",1960-08-03,3,34
"137",1960-08-10,4,32
"138",1960-08-17,5,34
"139",1960-08-24,7,31
"140",1960-08-31,8,29
"141",1960-09-07,4,34
"142",1960-09-14,7,43
"143",1960-09-21,4,37
