"","doc.id","date","predMean","predVar"
"1","1-B",1961-02-21,0.3395,0.00203116953498271
"2","2-B",1961-02-24,0.436,0.00169418944729507
"3","3-B",1961-02-24,0.41,0.00162890516411595
"4","4-B",1960-12-26,0.6145,0.0019667404444937
"5","5-B",1960-12-26,0.3955,0.0429304430137624
"6","6-B",1960-12-26,0.6395,0.00194094463881744
"7","7-B",1960-12-26,0.6565,0.00131767382198387
"8","8-B",1960-12-26,0.6955,0.00175638772995263
"9","9-B",1960-12-26,0.59,0.00167457664246612
"10","10-B",1960-12-26,0.6175,0.0015501408454583
"11","11-B",1960-12-26,0.686,0.00153546554208427
"12","12-B",1960-12-26,0.61,0.00172244901258339
"13","13-B",1960-12-26,0.231,0.00178413286727758
"14","14-B",1960-12-26,0.4175,0.00182985487971159
"15","15-B",1960-12-26,0.382,0.00163318849724535
"16","16-B",1961-01-10,0.6365,0.00220810483258835
"17","17-B",1961-01-10,0.491,0.00225663987331855
"18","18-B",1961-01-10,0.5025,0.00142091137106161
"19","19-B",1961-01-10,0.585,0.00637346759312047
"20","20-B",1961-01-10,0.196,0.00199591433764169
"21","21-B",1961-02-10,0.1275,0.0022436545598279
"22","22-B",1961-02-10,0.4835,0.00162048889025539
"23","23-B",1961-02-10,0.452,0.00566562798520148
"24","24-B",1961-02-10,0.7135,0.0397367862504731
"25","25-B",1961-02-10,0.5925,0.00247863487826165
"26","26-B",1961-02-10,0.4295,0.00175839316447732
"27","27-B",1961-02-10,0.5345,0.00204109073950196
"28","28-B",1961-02-17,0.423,0.00244292940745914
"29","29-B",1961-03-01,0.194,0.00234119979510567
"30","30-B",1961-03-01,0.337,0.0033809525215531
"31","31-B",1961-03-12,0.632,0.00154827973761132
"32","32-B",1961-03-10,0.423,0.00421320247325879
"33","33-B",1961-03-10,0.6885,0.00165305132399772
"34","34-B",1961-03-24,0.3075,0.00186433235201202
"35","35-B",1961-03-27,0.617,0.00183884053678556
"36","36-B",1961-03-24,0.01,0.00168070134835472
"37","37-B",1961-03-21,0.3235,0.00174794819584062
"38","38-B",1961-03-27,0.651,0.00218661088661714
"39","39-B",1961-03-31,0.005,0.00167763535797501
"40","40-B",1961-03-30,0.155,0.00186400453736747
"41","41-B",1961-03-30,0.688,0.0021962955391408
"42","42-B",1961-03-24,0.3335,0.00171393992264982
"43","43-B",1961-03-24,0.6875,0.00172772761044127
"44","44-B",1961-03-24,0.6155,0.00285158655062195
"45","45-B",1961-03-24,0.4935,0.00223797157647199
"46","46-B",1961-03-24,0.681,0.00156815572529575
"47","47-B",1961-03-24,0.574,0.00171043223727741
"48","48-B",1961-03-24,0.1655,0.00243382984136687
"49","49-B",1961-03-24,0.715,0.00140144233620091
"50","50-B",1961-04-04,0.6555,0.00199798963087659
"51","51-B",1961-04-13,0.0455,0.00175616091164735
"52","52-B",1961-04-04,0.7015,0.00178023362380703
"53","53-B",1961-04-04,0.0295,0.00168529102124707
"54","54-B",1961-04-17,0.6885,0.00167147727152303
"55","55-B",1961-04-26,0.048,0.00172706623999319
"56","56-B",1961-05-10,0.468,0.00202777250665996
"57","57-B",1961-05-13,0.303,0.00195053623644662
"58","58-B",1961-05-13,0.5215,0.0058936071127605
"59","59-B",1961-05-13,0.3785,0.00208125995780666
"60","60-B",1961-05-05,0.04,0.00169067878757001
"61","61-B",1961-05-17,0.203,0.00424944736315865
"62","62-B",1961-05-17,0.474,0.00202016725465895
"63","63-B",1961-05-20,0.6145,0.00247492738221606
"64","64-B",1961-05-25,0.5525,0.0038316336082961
"65","65-B",1961-05-26,0.278,0.00205611102941286
"66","66-B",1961-05-30,0.1855,0.00228117607114503
"67","67-B",1961-05-30,0.462,0.00228026338673091
"68","68-B",1961-05-30,0.498,0.00212203262155557
"69","69-B",1961-05-27,0.09,0.00192740631843222
"70","70-B",1961-05-27,0.4195,0.00193201531129043
"71","71-B",1961-05-27,0.416,0.00229618233742486
"72","72-B",1961-05-29,0.4525,0.00220430341100565
"73","73-B",1961-05-29,0.5695,0.00193753415171103
"74","74-B",1961-05-05,0.0835,0.00182755516128941
"75","75-B",1961-05-05,0.485,0.0069142240986147
"76","76-B",1961-05-05,0.637,0.0112297757415327
"77","77-B",1961-05-05,0.0645,0.00169155000801539
"78","78-B",1961-05-28,0.5135,0.00202026115430479
"79","79-B",1961-05-05,0.607,0.00189523014243927
"80","80-B",1961-05-05,0.731,0.00169457165840155
"81","81-B",1961-05-05,0.682,0.00215845472187888
"82","82-B",1961-05-05,0.62,0.00229456185710208
"83","83-B",1961-05-05,0.3765,0.00571914375582959
"84","84-B",1961-06-09,0.421,0.00169286693237187
"85","85-B",1961-06-09,0.3605,0.00175916965291831
"86","86-B",1961-06-09,0.377,0.00169159771878456
"87","87-B",1961-06-09,0.573,0.00388339467270433
"88","88-B",1961-06-13,0.336,0.00176642268496929
"89","89-B",1961-06-13,0.3175,0.0019660290497151
"90","90-B",1961-06-13,0.0195,0.00166778024799544
"91","91-B",1961-06-16,0.267,0.00532585068906525
"92","92-B",1961-06-17,0.1385,0.00179079192193988
"93","93-B",1961-06-20,0.237,0.00169512225127422
"94","94-B",1961-06-16,0.2995,0.0025534634372122
"95","95-B",1961-06-16,0.2145,0.0018110763676112
