"","week","wsumAvg","ndoc"
"1",1958-01-01,0,1
"2",1958-01-08,0,0
"3",1958-01-15,0,0
"4",1958-01-22,0,0
"5",1958-01-29,0,0
"6",1958-02-05,2,3
"7",1958-02-12,1,1
"8",1958-02-19,0,0
"9",1958-02-26,1,1
"10",1958-03-05,0,0
"11",1958-03-12,0,0
"12",1958-03-19,0,1
"13",1958-03-26,0,0
"14",1958-04-02,0,0
"15",1958-04-09,0,1
"16",1958-04-16,0,0
"17",1958-04-23,0,0
"18",1958-04-30,0,0
"19",1958-05-07,1,1
"20",1958-05-14,0,0
"21",1958-05-21,0,0
"22",1958-05-28,0,1
"23",1958-06-04,0,0
"24",1958-06-11,0,0
"25",1958-06-18,0,0
"26",1958-06-25,0,0
"27",1958-07-02,0,0
"28",1958-07-09,0,0
"29",1958-07-16,0,0
"30",1958-07-23,0,0
"31",1958-07-30,0,0
"32",1958-08-06,0,0
"33",1958-08-13,0,0
"34",1958-08-20,0,0
"35",1958-08-27,1,1
"36",1958-09-03,0,0
"37",1958-09-10,0,0
"38",1958-09-17,0,0
"39",1958-09-24,0,0
"40",1958-10-01,0,0
"41",1958-10-08,0,0
"42",1958-10-15,0,0
"43",1958-10-22,0,0
"44",1958-10-29,0,0
"45",1958-11-05,1,1
"46",1958-11-12,3,3
"47",1958-11-19,5,9
"48",1958-11-26,0,6
"49",1958-12-03,1,2
"50",1958-12-10,0,5
"51",1958-12-17,0,6
"52",1958-12-24,0,1
"53",1958-12-31,1,5
"54",1959-01-07,2,10
"55",1959-01-14,2,4
"56",1959-01-21,0,3
"57",1959-01-28,6,12
"58",1959-02-04,2,11
"59",1959-02-11,0,1
"60",1959-02-18,2,4
"61",1959-02-25,4,9
"62",1959-03-04,13,28
"63",1959-03-11,6,18
"64",1959-03-18,4,25
"65",1959-03-25,4,11
"66",1959-04-01,13,26
"67",1959-04-08,6,22
"68",1959-04-15,5,16
"69",1959-04-22,6,15
"70",1959-04-29,2,10
"71",1959-05-06,3,8
"72",1959-05-13,0,3
"73",1959-05-20,4,8
"74",1959-05-27,2,14
"75",1959-06-03,3,8
"76",1959-06-10,5,8
"77",1959-06-17,2,10
"78",1959-06-24,4,10
"79",1959-07-01,0,3
"80",1959-07-08,1,7
"81",1959-07-15,1,8
"82",1959-07-22,3,12
"83",1959-07-29,1,5
"84",1959-08-05,1,6
"85",1959-08-12,0,2
"86",1959-08-19,0,6
"87",1959-08-26,0,4
"88",1959-09-02,0,3
"89",1959-09-09,0,3
"90",1959-09-16,0,4
"91",1959-09-23,0,7
"92",1959-09-30,0,1
"93",1959-10-07,0,2
"94",1959-10-14,0,5
"95",1959-10-21,0,8
"96",1959-10-28,0,5
"97",1959-11-04,0,2
"98",1959-11-11,0,1
"99",1959-11-18,0,1
"100",1959-11-25,0,1
"101",1959-12-02,2,4
"102",1959-12-09,0,0
"103",1959-12-16,1,2
"104",1959-12-23,0,0
"105",1959-12-30,0,3
"106",1960-01-06,0,0
"107",1960-01-13,1,1
"108",1960-01-20,1,5
"109",1960-01-27,1,6
"110",1960-02-03,0,1
"111",1960-02-10,1,2
"112",1960-02-17,1,3
"113",1960-02-24,0,1
"114",1960-03-02,3,6
"115",1960-03-09,1,3
"116",1960-03-16,0,2
"117",1960-03-23,2,4
"118",1960-03-30,4,7
"119",1960-04-06,2,6
"120",1960-04-13,0,0
"121",1960-04-20,1,4
"122",1960-04-27,0,0
"123",1960-05-04,0,0
"124",1960-05-11,1,8
"125",1960-05-18,0,5
"126",1960-05-25,0,2
"127",1960-06-01,0,1
"128",1960-06-08,0,0
"129",1960-06-15,0,0
"130",1960-06-22,0,0
"131",1960-06-29,0,1
"132",1960-07-06,0,1
"133",1960-07-13,0,0
"134",1960-07-20,1,3
"135",1960-07-27,1,2
"136",1960-08-03,0,0
"137",1960-08-10,1,1
"138",1960-08-17,0,1
"139",1960-08-24,1,3
"140",1960-08-31,1,2
"141",1960-09-07,1,1
"142",1960-09-14,0,1
"143",1960-09-21,0,3
"144",1960-09-28,0,1
"145",1960-10-05,1,2
"146",1960-10-12,0,1
"147",1960-10-19,0,1
"148",1960-10-26,0,1
"149",1960-11-02,0,5
"150",1960-11-09,1,2
"151",1960-11-16,0,2
"152",1960-11-23,0,0
"153",1960-11-30,0,1
"154",1960-12-07,0,5
"155",1960-12-14,0,0
"156",1960-12-21,7,15
"157",1960-12-28,0,0
"158",1961-01-04,1,5
"159",1961-01-11,0,1
"160",1961-01-18,0,1
"161",1961-01-25,0,0
"162",1961-02-01,1,6
"163",1961-02-08,4,8
"164",1961-02-15,0,2
"165",1961-02-22,0,2
"166",1961-03-01,1,3
"167",1961-03-08,1,3
"168",1961-03-15,0,1
"169",1961-03-22,6,12
"170",1961-03-29,3,9
"171",1961-04-05,0,1
"172",1961-04-12,1,3
"173",1961-04-19,0,2
"174",1961-04-26,0,2
"175",1961-05-03,5,10
"176",1961-05-10,0,4
"177",1961-05-17,1,3
"178",1961-05-24,4,11
"179",1961-05-31,1,33
"180",1961-06-07,4,13
"181",1961-06-14,4,26
"182",1961-06-21,29,84
"183",1961-06-28,25,59
"184",1961-07-05,16,46
"185",1961-07-12,30,82
"186",1961-07-19,12,39
"187",1961-07-26,17,43
"188",1961-08-02,20,67
"189",1961-08-09,2,26
"190",1961-08-16,20,85
"191",1961-08-23,11,51
"192",1961-08-30,11,59
"193",1961-09-06,13,71
"194",1961-09-13,27,90
"195",1961-09-20,7,35
"196",1961-09-27,8,49
"197",1961-10-04,12,61
"198",1961-10-11,8,70
"199",1961-10-18,21,65
"200",1961-10-25,13,52
"201",1961-11-01,10,54
"202",1961-11-08,3,35
"203",1961-11-15,9,59
"204",1961-11-22,1,12
"205",1961-11-29,11,65
"206",1961-12-06,5,32
"207",1961-12-13,1,21
"208",1961-12-20,1,11
"209",1961-12-27,3,22
"210",1962-01-03,3,36
"211",1962-01-10,1,31
"212",1962-01-17,2,16
"213",1962-01-24,4,15
"214",1962-01-31,7,18
"215",1962-02-07,2,13
"216",1962-02-14,10,41
"217",1962-02-21,3,10
"218",1962-02-28,4,18
"219",1962-03-07,4,24
"220",1962-03-14,1,25
"221",1962-03-21,3,18
"222",1962-03-28,2,17
"223",1962-04-04,2,34
"224",1962-04-11,2,41
"225",1962-04-18,2,15
"226",1962-04-25,0,5
"227",1962-05-02,0,8
"228",1962-05-09,0,2
"229",1962-05-16,3,6
"230",1962-05-23,0,7
"231",1962-05-30,0,4
"232",1962-06-06,1,8
"233",1962-06-13,1,5
"234",1962-06-20,1,5
"235",1962-06-27,3,8
"236",1962-07-04,0,0
"237",1962-07-11,5,15
"238",1962-07-18,8,16
"239",1962-07-25,1,1
"240",1962-08-01,6,17
"241",1962-08-08,2,8
"242",1962-08-15,3,15
"243",1962-08-22,6,25
"244",1962-08-29,11,25
"245",1962-09-05,6,18
"246",1962-09-12,7,16
"247",1962-09-19,11,58
"248",1962-09-26,0,6
"249",1962-10-03,1,4
"250",1962-10-10,6,22
"251",1962-10-17,4,22
"252",1962-10-24,9,33
"253",1962-10-31,3,11
"254",1962-11-07,4,17
"255",1962-11-14,2,6
"256",1962-11-21,2,9
"257",1962-11-28,1,7
"258",1962-12-05,0,3
