,resolve
1,Low
2,None
3,None
4,None
5,None
6,None
7,None
8,None
9,None
10,None
11,None
12,None
13,None
14,None
15,None
16,None
17,None
18,None
19,None
20,Low
21,None
22,Low
23,None
24,None
25,None
26,High
27,High
28,None
29,None
30,None
31,None
32,High
33,None
34,None
35,None
36,None
37,None
38,None
39,None
40,None
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,None
49,None
50,None
51,None
52,None
53,None
54,Low
55,None
56,None
57,Low
58,None
59,None
60,None
61,None
62,None
63,None
64,Low
65,None
66,None
67,None
68,None
69,None
70,None
71,High
72,None
73,None
74,None
75,High
76,None
77,None
78,None
79,None
80,None
81,Low
82,None
83,High
84,None
85,None
86,None
87,None
88,None
89,None
90,High
91,Low
92,None
93,None
94,High
95,None
96,None
97,None
98,None
99,None
100,High
101,None
102,None
103,Low
104,None
105,Low
106,Low
107,None
108,None
109,High
110,None
111,None
112,None
113,None
114,None
115,None
116,None
117,None
118,None
119,None
120,High
121,None
122,High
123,None
124,None
125,None
126,None
127,None
128,High
129,Low
130,None
131,None
132,Low
133,None
134,None
135,None
136,None
137,None
138,None
139,None
140,Low
141,None
142,None
143,None
144,Low
145,None
146,None
147,None
148,None
149,Low
150,None
151,None
152,None
153,Low
154,None
155,None
156,High
157,High
158,None
159,Low
160,None
161,None
162,None
163,None
164,High
165,None
166,Low
167,None
168,Low
169,Low
170,None
171,None
172,None
173,None
174,None
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
187,High
188,None
189,None
190,Low
191,None
192,None
193,None
194,Low
195,Low
196,None
197,None
198,None
199,None
200,None
201,None
202,None
203,None
204,None
205,None
206,None
207,None
208,None
209,Low
210,None
211,None
212,None
213,Low
214,None
215,High
216,Low
217,None
218,None
219,None
220,None
221,None
222,None
223,High
224,None
225,None
226,None
227,None
228,None
229,None
230,None
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,High
239,None
240,High
241,None
242,Low
243,None
244,High
245,None
246,None
247,None
248,None
249,None
250,None
251,None
252,None
253,None
254,None
255,High
256,None
257,Low
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,High
267,None
268,High
269,None
270,None
271,None
272,None
273,None
274,High
275,None
276,High
277,High
278,None
279,Low
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,Low
311,Low
312,High
313,None
314,None
315,None
316,High
317,Low
318,None
319,None
320,None
321,None
322,High
323,None
324,None
325,None
326,None
327,None
328,High
329,None
330,High
331,None
332,None
333,Low
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,High
344,None
345,None
346,None
347,None
348,None
349,Low
350,None
351,High
352,None
353,None
354,High
355,None
356,None
357,None
358,None
359,Low
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,High
377,None
378,High
379,Low
380,Low
381,None
382,None
383,None
384,Low
385,None
386,None
387,Low
388,None
389,Low
390,None
391,None
392,None
393,None
394,None
395,Low
396,None
397,None
398,None
399,None
400,None
401,None
402,None
403,None
404,None
405,None
406,None
407,None
408,None
409,None
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,Low
419,None
420,None
421,None
422,None
423,None
424,None
425,None
426,None
427,None
428,Low
429,None
430,None
431,None
432,None
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,None
441,High
442,None
443,None
444,None
445,None
446,None
447,None
448,None
449,High
450,None
451,None
452,None
453,None
454,None
455,None
456,None
457,None
458,None
459,None
460,None
461,None
462,High
463,High
464,None
465,None
466,None
467,None
468,None
469,None
470,None
471,None
472,None
473,None
474,High
475,None
476,None
477,None
478,None
479,None
480,None
481,None
482,None
483,None
484,Low
485,None
486,None
487,None
488,None
489,None
490,None
491,High
492,None
493,None
494,None
495,Low
496,None
497,None
498,None
499,None
500,High
501,None
502,None
503,Low
504,None
505,None
506,None
507,None
508,None
509,None
510,None
511,None
512,None
513,Low
514,None
515,None
516,None
517,None
518,None
519,None
520,Low
521,None
522,None
523,None
524,None
525,None
526,None
527,None
528,None
529,None
530,Low
531,None
532,High
533,High
534,None
535,None
536,None
537,None
538,High
539,High
540,None
541,None
542,Low
543,None
544,None
545,None
546,None
547,None
548,None
549,None
550,None
551,None
552,None
553,None
554,High
555,None
556,None
557,None
558,None
559,None
560,Low
561,None
562,High
563,None
564,None
565,None
566,None
567,None
568,None
569,None
570,None
571,None
572,None
573,High
574,None
575,None
576,None
577,High
578,None
579,None
580,None
581,None
582,None
583,None
584,None
585,None
586,None
587,None
588,Low
589,High
590,None
591,None
592,High
593,High
594,None
595,None
596,None
597,None
598,None
599,None
600,None
601,None
602,None
603,None
604,None
605,None
606,None
607,None
608,None
609,None
610,None
611,Low
612,None
613,None
614,None
615,High
616,None
617,None
618,Low
619,None
620,Low
621,High
622,None
623,Low
624,Low
625,None
626,None
627,None
628,None
629,Low
630,High
631,None
632,None
633,None
634,None
635,Low
636,None
637,None
638,None
639,None
640,None
641,None
642,None
643,None
644,None
645,None
646,None
647,None
648,None
649,High
650,None
651,None
652,None
653,None
654,None
655,None
656,None
657,None
658,None
659,Low
660,Low
661,None
662,None
663,High
664,None
665,None
666,High
667,None
668,None
669,Low
670,Low
671,None
672,None
673,None
674,High
675,Low
676,None
677,Low
678,None
679,None
680,None
681,None
682,None
683,None
684,None
685,Low
686,None
687,None
688,None
689,None
690,None
691,None
692,None
693,None
694,Low
695,High
696,High
697,None
698,None
699,Low
700,None
701,None
702,None
703,None
704,None
705,Low
706,None
707,None
708,None
709,None
710,None
711,Low
712,High
713,None
714,None
715,None
716,None
717,None
718,None
719,None
720,None
721,None
722,None
723,None
724,Low
725,Low
726,Low
727,High
728,None
729,None
730,High
731,None
732,None
733,None
734,None
735,None
736,None
737,Low
738,None
739,None
740,None
741,Low
742,None
743,None
744,High
745,None
746,None
747,None
748,None
749,High
750,None
751,None
752,None
753,None
754,None
755,None
756,None
757,None
758,None
759,Low
760,High
761,None
762,None
763,None
764,None
765,Low
766,None
767,Low
768,None
769,Low
770,None
771,None
772,None
773,None
774,None
775,None
776,None
777,None
778,None
779,None
780,None
781,Low
782,Low
783,None
784,None
785,None
786,High
787,None
788,Low
789,None
790,None
791,High
792,None
793,None
794,None
795,None
796,None
797,None
798,None
799,None
800,None
801,None
802,High
803,Low
804,Low
